small,big,calories,perContainer,category
Macaroni and cheese,Kraft Macaroni and cheese,320,3.5,food
Ice Cream,Ben and Jerries chocolate chip cookie dough (tub),1030,1,Desert
Potato Chips,Lay’s Classic Potato Chips (bag),160,1,snack
Orange Juice,Tropicana,110,6,Drink
Vanilla Icecream,Whidbey Island Vanilla ice cream,200,4,Ice cream
Peach Juice,Simple Peach,100,7,drink
Fruit punch,Simply Fruit Punch,100,7,drink
Lemonade,Classic Lemonade,120,6,drink
Sweat Tea,Kroger Sweat Black Tea,120,11,drink
Creamy Cold Brew Coffee,Stok Creamy Cold Brew Coffee,140,4,drink
Coke,Coca-Cola,200,1,drink
Dorittos Chips,Doritos Chips,150,9,snack
Pringles,Pringles Cheddar & Sour cream,150,6,snack
Popcorn,?? 5213,160,7,snack
Movie Popcorn,"AMC Movies Popcorn (regular, no butter)",550,1,Snack
Chocolate,Hershey’s kisses,160,10,snack
Reese’s Peanut Butter Cups,Reese’s Peanut Butter Cups,130,11,snack
M&Ms,M&Ms,140,18,snack
Chocolate Bar,Hershey’s Milk Chocolate bar,150,4,snack
Snickers,Fun size Snickers,80,5,snack
Oreo Thin,Oreo Thin,160,15,snack
Cookie,Chipsahoy Chocolate chip cookie,160,16,snack
Milano,Milano Milk Chocolate,170,5,snack
Maple Syrup,Log Cabin Original,110,24,desert
Cracker,Ritz,80,24,snack
Frappe,Starbucks Cafe Frappe Vanilla,220,1,drink
Frappuccino,Starbucks Frappuccino,290,1,drink
Mocha,Starbucks Cafe Frappe Mocha,220,1,drink
Caramel Frappe,Starbucks Cafe Frappe Caramel,220,1,Drink
Hazelnut Syrup,Torani Hazelnut syrup,80,25,drink
Salted Caramel Monster,Salted Caramel Monster,180,1,drink
Cold brew Coffee with oat milk and sugar,Oatly Cold brew Coffee with oat milk and sugar,140,1,drink
Coffee with Milk and Sugar,Starbucks Coffee with Milk and Sugar,280,1,drink
Vanilla Syrup,Torani Vanilla Syrup,80,25,drink
Coffee Cream cup,Coffee Cream cup,10,24,drink
Peppermint Syrup,Torani Pepperment syrup,90,25,drink
French Vanilla,Torani French Vanilla,80,25,drink
Muffin,Lemon Marionberry Muffin,250,1,snack
Doughnut,Top Pot Cinnamon & Sugar cake doughnut,400,1,snack
